BLD_PID;ADDRESS;Rooms;DZN_CODE21;CNTRD_LONG;CNTRD_LAT;zoneId
bld7a8a512c64c9;8 PRINCE ST, CLAYTON VIC 3168;3;215680001.0;145.12471;-37.91638;634
bld8cba8ed74696;22 EVELYN ST, CLAYTON VIC 3168;6;215680009.0;145.1316;-37.91949;642
bldf2df77768746;25 PANORAMA ST, CLAYTON VIC 3168;3;215680008.0;145.1293;-37.92029;641
bld871866de4bc1;52 FULTON ST, CLAYTON VIC 3168;2;215680002.0;145.1143;-37.91415;635
bld92dc54dac9fc;95 CARINISH RD, CLAYTON VIC 3168;4;215680006.0;145.11854;-37.92251;639
bld5b228d9845e2;35 MADELEINE RD, CLAYTON VIC 3168;5;215680002.0;145.11935;-37.91715;635
bld12f1a225e3e3;1446 NORTH RD, CLAYTON VIC 3168;3;215680002.0;145.11974;-37.91398;635
bld4f24acbb5f6f;42 STOCKDALE AV, CLAYTON VIC 3168;4;215670004.0;145.12609;-37.91051;628
bld28c9eb528f9a;45 MARSHALL AV, CLAYTON VIC 3168;6;215670004.0;145.12662;-37.91085;628
bld948cb5bcdf7f;16 EVA ST, CLAYTON VIC 3168;4;215680004.0;145.11405;-37.92213;637
bld316db5fe77f9;87 EVA ST, CLAYTON VIC 3168;4;215680004.0;145.11253;-37.92703;637
bld5357a2509841;46 SCOTSBURN AV, CLAYTON VIC 3168;3;215680004.0;145.10875;-37.92311;637
bld3f30b10892c5;4 BAYVIEW AV, CLAYTON VIC 3168;2;215670001.0;145.1236;-37.90677;625
bld910c30d6c4ca;31 COLONEL ST, CLAYTON VIC 3168;3;215680002.0;145.11949;-37.92025;635
blddd69bc61a6ac;52 ORMOND RD, CLAYTON VIC 3168;3;215680004.0;145.11253;-37.92434;637
bld8f390aaca3e9;67 ALICE ST, CLAYTON VIC 3168;3;215680002.0;145.11867;-37.91808;635
bld394f5a2ed942;7 GARDINER RD, CLAYTON VIC 3168;4;215670001.0;145.12784;-37.905;625
blde802399b0a41;21 BEDDOE AV, CLAYTON VIC 3168;5;215670004.0;145.12807;-37.90892;628
bld2ef000af6836;17 JAGUAR DR, CLAYTON VIC 3168;3;215680009.0;145.13199;-37.9245;642
bld0733b68e7c69;58 KIONGA ST, CLAYTON VIC 3168;5;215680009.0;145.13104;-37.92728;642
bld5486cfdc41f8;12 DONALD ST, CLAYTON VIC 3168;4;215680006.0;145.12384;-37.9241;639
bld055281ac8cba;36 VIEW ST, CLAYTON VIC 3168;3;215680004.0;145.11052;-37.92247;637
blded26a6aadb89;1 BEDDOE AV, CLAYTON VIC 3168;10;215670004.0;145.12824;-37.90731;628
bld331898a86d56;3 MYRIONG ST, CLAYTON VIC 3168;3;215680001.0;145.12247;-37.91493;634
bldeadda7f0d7a8;23 BRUSHBOX CT, CLAYTON VIC 3168;3;215680008.0;145.12906;-37.92356;641
bldcca765553a1d;34 KANOOKA GR, CLAYTON VIC 3168;3;215680001.0;145.12641;-37.91994;634
bld38deb4ea3237;16 MANATUNGA ST, CLAYTON VIC 3168;4;215680001.0;145.12577;-37.91703;634
bld192d08c00148;77 FULTON ST, CLAYTON VIC 3168;3;215680002.0;145.11709;-37.9141;635
bld0f9e47f904ed;1 GLENBROOK AV, CLAYTON VIC 3168;4;215670001.0;145.12404;-37.90682;625
bldbd28581813c6;10 CARLSON AV, CLAYTON VIC 3168;3;215670001.0;145.12607;-37.9062;625
blddf69640ffa26;1437 CENTRE RD, CLAYTON VIC 3168;3;215680007.0;145.12374;-37.9289;640
bld91cd3dc4ae4c;9 LANTANA ST, CLAYTON VIC 3168;2;215680008.0;145.12848;-37.92033;641
bldfd9bcec1ebdf;17 BRUSHBOX CT, CLAYTON VIC 3168;2;215680008.0;145.12945;-37.92326;641
bldf8f8a1732bc9;7 JAGUAR DR, CLAYTON VIC 3168;4;215680009.0;145.13211;-37.92375;642
bld03a61ac7ba46;65 ORMOND RD, CLAYTON VIC 3168;5;215680004.0;145.11162;-37.92517;637
bld9011c5c2b104;5 BELMONT AV, CLAYTON VIC 3168;4;215680007.0;145.12157;-37.92771;640
bld3cef3a73d4ad;39 MORTON ST, CLAYTON VIC 3168;4;215670005.0;145.1392;-37.91712;629
bld66b2a4e59f8b;5 FLORA RD, CLAYTON VIC 3168;3;215680002.0;145.11568;-37.91736;635
bldf03f183224e6;324 HAUGHTON RD, CLAYTON VIC 3168;3;215680004.0;145.11207;-37.91889;637
blde879ec9a55c5;31 THOMPSON ST, CLAYTON VIC 3168;4;215680002.0;145.11716;-37.91871;635
bldec2ac369e99b;13 BANKSIA ST, CLAYTON VIC 3168;4;215680002.0;145.11854;-37.91519;635
