zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
200;120;0;0;30;20;30;50;0;0;0;0;0;0;60;0;0;0;0
201;260;0;0;30;220;110;350;0;0;0;0;0;0;65;0;0;0;0
202;150;0;0;50;290;200;80;0;0;0;0;0;0;50;0;0;0;0
203;10;0;0;10;110;120;90;0;0;0;0;0;0;35;0;0;0;0
204;150;0;0;10;150;320;290;0;0;0;0;0;0;40;0;0;0;0
205;170;0;0;50;60;150;110;0;0;0;0;0;0;65;0;0;0;0
206;110;0;0;30;200;250;140;0;0;0;0;0;0;65;0;0;0;0
207;110;0;0;40;10;10;40;0;0;0;0;0;0;45;0;0;0;0
208;140;0;0;50;130;80;180;0;0;0;0;0;0;110;0;0;0;0
209;210;0;0;70;520;610;250;0;0;0;0;0;0;15;0;0;0;0
210;70;0;0;20;140;50;20;0;0;0;0;0;0;35;0;0;0;0
211;240;0;0;80;580;630;400;0;0;0;0;0;0;120;0;0;0;0
212;140;0;0;40;140;40;130;0;0;0;0;0;0;40;0;0;0;0
213;250;0;0;160;300;310;250;0;0;0;0;0;0;60;0;0;0;0
214;80;0;0;50;220;90;180;0;0;0;0;0;0;45;0;0;0;0
215;130;0;0;30;60;60;60;0;0;0;0;0;0;25;0;0;0;0
216;260;0;0;100;80;110;180;0;0;0;0;0;0;80;0;0;0;0
217;230;0;0;70;460;530;450;0;0;0;0;0;0;135;0;0;0;0
218;120;0;0;60;150;280;70;0;0;0;0;0;0;35;0;0;0;0
219;130;0;0;40;50;170;120;0;0;0;0;0;0;25;0;0;0;0
220;80;0;0;40;190;50;170;0;0;0;0;0;0;30;0;0;0;0
221;270;0;0;190;600;640;510;0;0;0;0;0;0;175;0;0;0;0
222;220;0;0;60;320;540;630;0;0;0;0;0;0;90;0;0;0;0
223;280;0;0;120;170;260;80;0;0;0;0;0;0;5;0;0;0;0
224;150;0;0;80;40;80;150;0;0;0;0;0;0;150;0;0;0;0
225;140;0;0;60;90;140;130;0;0;0;0;0;0;95;0;0;0;0
226;110;0;0;40;50;200;80;0;0;0;0;0;0;10;0;0;0;0
227;80;0;0;50;110;110;40;0;0;0;0;0;0;20;0;0;0;0
228;90;0;0;0;120;60;70;0;0;0;0;0;0;15;0;0;0;0
229;180;0;0;80;380;70;100;0;0;0;0;0;0;25;0;0;0;0
230;300;0;0;130;680;770;370;0;0;0;0;0;0;160;0;0;0;0
231;130;0;0;50;130;150;110;0;0;0;0;0;0;95;0;0;0;0
232;100;0;0;20;200;150;20;0;0;0;0;0;0;70;0;0;0;0
233;110;0;0;60;80;140;50;0;0;0;0;0;0;40;0;0;0;0
234;140;0;0;50;30;10;50;0;0;0;0;0;0;105;0;0;0;0
235;110;0;0;50;80;130;170;0;0;0;0;0;0;50;0;0;0;0
236;70;0;0;20;40;50;60;0;0;0;0;0;0;40;0;0;0;0
237;210;0;0;60;960;910;430;0;0;0;0;0;0;90;0;0;0;0
238;80;0;0;50;80;60;130;0;0;0;0;0;0;80;0;0;0;0
239;70;0;0;10;0;30;0;0;0;0;0;0;0;50;0;0;0;0
240;280;0;0;70;820;710;430;0;0;0;0;0;0;125;0;0;0;0
241;110;0;0;90;40;40;60;0;0;0;0;0;0;85;0;0;0;0
242;160;0;0;40;100;80;60;0;0;0;0;0;0;85;0;0;0;0
243;120;0;0;30;130;70;110;0;0;0;0;0;0;40;0;0;0;0
244;70;0;0;40;160;190;160;0;0;0;0;0;0;20;0;0;0;0
245;80;0;0;20;120;140;60;0;0;0;0;0;0;40;0;0;0;0
246;140;0;0;40;40;70;60;0;0;0;0;0;0;40;0;0;0;0
247;100;0;0;40;20;0;20;0;0;0;0;0;0;5;0;0;0;0
248;90;0;0;20;0;40;0;0;0;0;0;0;0;50;0;0;0;0
249;100;0;0;60;100;20;10;0;0;0;0;0;0;55;0;0;0;0
250;100;0;0;40;0;0;10;0;0;0;0;0;0;30;0;0;0;0
251;90;0;0;20;60;0;20;0;0;0;0;0;0;20;0;0;0;0
252;80;0;0;30;50;10;60;0;0;0;0;0;0;25;0;0;0;0
253;70;0;0;30;40;0;50;0;0;0;0;0;0;30;0;0;0;0
254;110;0;0;40;550;500;240;0;0;0;0;0;0;75;0;0;0;0
255;130;0;0;20;170;190;110;0;0;0;0;0;0;65;0;0;0;0
256;80;0;0;60;280;430;210;0;0;0;0;0;0;55;0;0;0;0
